,total_rainfall,no_of_rainy_days,year,month_of_year,date,total_visitor_inbound
0,107.1,10,1982,1,1982-01-01,239088
1,27.8,5,1982,2,1982-02-01,225008
2,160.8,11,1982,3,1982-03-01,235113
3,157.0,14,1982,4,1982-04-01,225827
4,102.2,10,1982,5,1982-05-01,232737
5,59.5,8,1982,6,1982-06-01,243955
6,76.3,8,1982,7,1982-07-01,277968
7,169.5,11,1982,8,1982-08-01,281354
8,54.1,9,1982,9,1982-09-01,232006
9,39.3,10,1982,10,1982-10-01,251613
10,134.0,13,1982,11,1982-11-01,257389
11,494.1,21,1982,12,1982-12-01,254632
12,246.0,18,1983,1,1983-01-01,232164
13,5.6,2,1983,2,1983-02-01,212591
14,18.6,2,1983,3,1983-03-01,242272
15,33.6,4,1983,4,1983-04-01,226610
16,160.8,11,1983,5,1983-05-01,236720
17,94.0,11,1983,6,1983-06-01,227843
18,190.0,18,1983,7,1983-07-01,249891
19,262.2,10,1983,8,1983-08-01,263236
20,170.8,18,1983,9,1983-09-01,230076
21,212.7,17,1983,10,1983-10-01,240012
22,228.8,18,1983,11,1983-11-01,237223
23,370.6,16,1983,12,1983-12-01,254939
24,251.2,18,1984,1,1984-01-01,233863
25,470.4,19,1984,2,1984-02-01,221968
26,361.3,19,1984,3,1984-03-01,239414
27,153.1,17,1984,4,1984-04-01,245480
28,186.5,12,1984,5,1984-05-01,248953
29,255.0,14,1984,6,1984-06-01,240184
30,127.2,12,1984,7,1984-07-01,261402
31,102.7,13,1984,8,1984-08-01,282186
32,186.7,17,1984,9,1984-09-01,239438
33,187.5,11,1984,10,1984-10-01,257737
34,127.7,17,1984,11,1984-11-01,248137
35,277.4,22,1984,12,1984-12-01,272668
36,111.1,7,1985,1,1985-01-01,248446
37,79.3,11,1985,2,1985-02-01,230830
38,88.0,13,1985,3,1985-03-01,262117
39,110.5,14,1985,4,1985-04-01,237011
40,70.1,12,1985,5,1985-05-01,244179
41,37.0,14,1985,6,1985-06-01,247225
42,131.8,17,1985,7,1985-07-01,264253
